Straßenname	ungerade Hausnummer	gerade Hausnummer	Wahlkreis	Ortschaft	Wahlbezirk
Dahlienstraße	3-75B	20-30	6		6159
Dahlienstraße	77-119		6		6149
Dähnhardtstraße	1-3	2-14	8		8102
Damaschkebogen	1-11	2-10	3	Liebertwolkwitz	3439
Damaschkestraße	1-11	34-170	8		8102
Damaschkestraße	15-89		8		8101
Dammstraße	1	2-30	5		5049
Dammteichweg	1	2	2	Mölkau	2619
Dankwartstraße	1		4		4309
Dankwartstraße	3	2	4		4369
Dantestraße	17		8		8049
Dantestraße	19-25	2-26	8		8059
Darwinstraße	1-47	2	1		1401
Daumierstraße	1-13	2-12	9		9168
Daumierstraße	14-26		9		9169
Däumlingsweg	1-35	2-32	0		4221
Dauthestraße	1-23	6-10	3		3089
Davidstraße	1-15	2-16	0		0400
Debyestraße	7	2-6	1		2509
Defoestraße	1A-13	2-32	8		8009
Defreggerweg	7-23	8-24	2		2489
Deiwitzweg	1-21	2-44	6		6459
Delitzscher Landstraße	32-48		9	Wiederitzsch	9519
Delitzscher Landstraße	35-151		9	Wiederitzsch	9520
Delitzscher Landstraße	54-82		9	Wiederitzsch	9509
Delitzscher Landstraße	94-150		9	Wiederitzsch	9531
Delitzscher Straße	2		0		0619
Delitzscher Straße	3-13		0		0601
Delitzscher Straße	15-51	30-78	9		9339
Delitzscher Straße	80-80C		9		9349
Delitzscher Straße	82-96		9		9359
Delitzscher Straße	53-67	98-178	9		9329
Delitzscher Straße	69-151	190-226	9		9309
Demetriusweg	1-5A	2-6	1		1510
Demmeringstraße	5-7	2-22	7		7159
Demmeringstraße	9-45		7		7161
Demmeringstraße	49-95	24-76	7		7140
Demmeringstraße	78-100		7		7109
Demmeringstraße	105-137	102-146	7		7239
Demmeringstraße	139-175A	148-150	7		7219
Denkmalsallee	3-7	2	8	Lindenthal	8309
Denkmalsblick	3-19	8-18	0		4210
Dennewitzer Straße	1-53	2-38	8	Lindenthal	8311
Dessauer Straße	7-45	2-68	9		9369
Deutsche Einheit	2-6		3	Liebertwolkwitz	3419
Deutscher Platz	1-5E	4-6	0		0241
Deutsches Heim	1-15A	2-28B	2	Mölkau	2609
Deutsches Heim	17-21A		2	Mölkau	2619
Diakonissenstraße	1-1A	2	7		7109
Diakonissenstraße	3-7D	4-10	7		7119
Diamantstraße	2-32		2	Engelsdorf	2709
Diamantstraße	5-35		2	Engelsdorf	2701
Diderotstraße	1-37	26-34	8		8039
Diebitschweg	1-43	2-48	3		3319
Dieselstraße	1-11	6-10	9		9359
Dieskaustraße	3-23	8-20	5		5211
Dieskaustraße	29-67	22-54	5		5219
Dieskaustraße	60-76		5		5259
Dieskaustraße	71-133	86-102	5		5249
Dieskaustraße	122		5		5301
Dieskaustraße	155-175	126-178	5		5319
Dieskaustraße	193-211	184-192	5		5311
Dieskaustraße	213-215	196-234	5		5329
Dieskaustraße	217-317	240-284	5		5339
Dieskaustraße	286-292		5		5329
Dieskaustraße	323-383C	308-374	5		5401
Dieskaustraße	385-435	384-392	5		5409
Dieskaustraße	437-483C	400	5		5412
Diesterwegstraße	1-3	2-4	9		9329
Dietzgenstraße	2-10		9		9168
Dietzgenstraße	1-13	12-24	9		9169
Diezmannstraße	5-99	4-60	5		5221
Dimitroffstraße	1-5	24-28	0		0310
Ebereschenweg	1-11	2-36	9	Wiederitzsch	9519
Eberlestraße	3	2-6	2	Engelsdorf	2709
Eberpfad	1-9	2-10	5		5409
Ecksteinstraße	15-33	16-34	4		4141
Ecksteinstraße	35-55	40-56	4		4159
Edisonstraße	1B-21	2-4A	2	Engelsdorf	2729
Edlichstraße	3-29	2-32	1		2139
Edmond-Kaiser-Straße	1-9	2-20	8	Lindenthal	8321
Edmond-Kaiser-Straße	11-13	22	8		8102
Eduardstraße	1-15	4-12	5		5129
Eduard-von-Hartmann-Straße	1-37	2-46	9		9151
Eduard-von-Hartmann-Straße	39	48-50	8		9221
Eduard-von-Hartmann-Straße	45-49	54-58	8		9229
Eferdinger Straße	1-19		1		1510
Egelstraße	1-7	2-12	0		0129
Eggebrechtstraße	1		0		0241
Egon-Erwin-Kisch-Weg	1-41	2-34	3		3140
Ehrenberger Straße	1-5A	2-14	7	Rückmarsdorf	7510
Ehrensteinstraße	1-49		8		9069
Ehrensteinstraße	2-38		0		0609
Ehrensteinstraße	40-44		0		0601
Eibenweg	1-33	2-32	2	Mölkau	2629
Eichbergstraße	1-45	4-82	1		1439
Eichelbaumstraße	1-15	2-16	5		5319
Eichendorffstraße	3-7	2-6	4		4111
Eichendorffstraße	9-11	10-14	4		4121
Eichenweg	2-12		9	Wiederitzsch	9519
Eichhörnchenweg	2		1		2509
Eichlerstraße	11	2-10	3		3089
Eidechsenweg	1-19	2-24	1		2511
Eigene Scholle	1-13	2-14	7	Burghausen	7501
Eigenheimstraße	3-7	2-10A	4		4402
Eigenheimstraße	9-55	10B-40	4		4410
Eilenburger Straße	1A-3	4	3		3019
Eilenburger Straße	13-15B	10-14	3		3021
Eilenburger Straße	17-19	16-20B	3		3039
Eilenburger Straße	21A		3		3019
Eilenburger Straße	25-59	22-38	3		3049
Einertstraße	1-9	2-10	1		2009
Einsteinstraße	1-35	2-20	5		5140
Eisenacher Straße	1-37	2-6	8		9029
Eisenacher Straße	8-44		8		9021
Eisenacher Straße	39-43		8		9070
Eisenacher Straße	45-85	54-88	8		9059
Eisenbahnstraße	1-35		1		2009
Eisenbahnstraße	37-79	4B-82	1		2020
Eisenbahnstraße	81-127	84-116	1		2109
Eisenbahnstraße	118-136		1		2149
Eisenbahnstraße	129-171	142-182	1		2139
Eisenbahnstraße	173-189		2		2330
Eisenberger Ring	1-37	2-54	6		6029
Eisenschmidtplatz	1-5	2-4	3	Holzhausen	3521
Eitingonstraße	2-10		0		0501
Eitingonstraße	5	12	0		0519
Elchweg	69-125		5		5401
Elfenweg	1-23	2-4	0		4221
Elisabeth-Schumacher-Straße	1-15	16-52	2		2321
Elisabeth-Schumacher-Straße	33-35	54-60	2		2401
Elisabethstraße	7	2-4	1		2141
Elisabethstraße	9-21	16-18	1		2149
Elisabethstraße	23-37	22-36	1		2109
Ellernweg	1-21	4-12	7		7359
Elli-Voigt-Straße	1-7	2-8	8		8069
Elsa-Brändström-Straße	1-3		1		1079
Elsastraße	1		1		2020
Elsastraße	2-16		1		2059
Elsbethstraße	1-3	2-6	8		9039
Elsbethstraße	5-25	8-32	8		9021
Elsbethstraße	27-37	34-42	8		9070
Elsteraue	1-37	2-34	8	Lützschena-Stahmeln	8229
Elsterberg	3-11	6-10	8	Lützschena-Stahmeln	8229
Elsterblick	1-51	2-24	8		8071
Elstergarten	1-9	4	8	Lützschena-Stahmeln	8229
Elstermühlweg	5	2-8	8	Lützschena-Stahmeln	8219
Elsterstraße	2-12		0		0449
Elsterstraße	1-39	14-36	0		0429
Espenweg	1-31	2-22	7	Miltitz	6601
Essener Straße	1-27B		9		9309
Essener Straße	2-38		9		9329
Essener Straße	29-41B		9		1319
Essener Straße	43-113	44-102	9		1339
Etkar-André-Straße	1-21	4-16	9		9168
Etkar-André-Straße	23-33	24-32	9		9149
Etzelstraße	3-15		4		4369
Eutritzscher Markt	1-1A		9		9309
Eutritzscher Markt	4-6		9		9329
Eutritzscher Straße	1-15	6-12	0		0621
Eutritzscher Straße	15A-39	14B-26B	0		0619
Eutritzscher Straße	41-45		0		0601
Eva-Maria-Buch-Straße	3-31	2-34	1		1401
Eythraer Straße	1-19	2-10	5		5259
Eythraer Straße	21-27	12-62	5		5249
Eythraer Weg	1	2-22	5	Hartmannsdorf-Knautnaundorf	5509
Eythstraße	3-17	10-24	9		9309
Fabrikstraße	1-21		7	BöhLindenthalz-Ehrenberg	7401
Fabrikstraße	4-18		7	BöhLindenthalz-Ehrenberg	7402
Falkensteinstraße	1-51	2-84	5		5311
Falkenweg	1-55		7	Rückmarsdorf	7529
Falladastraße	1-63	4-52	8		8009
Falterstraße	1-59	2-86	1		2511
Faradaystraße	1-11	2-12	8		8071
Faradaystraße	13-39	14-30	8		8059
Faradaystraße	41-65	32-42	8		8029
Färberstraße	1A-15	12-18	0		0521
Fasanenhöhe	1	2-6	3	Liebertwolkwitz	3409
Fasanenhügel	1-15C	2A-16	2	Engelsdorf	2809
Fasanenpfad	1-21	2-22	5		5409
Fasanenweg	1-29	2-38	2	Mölkau	2609
Fechnerstraße	3-7	2-6	8		9070
Fechnerstraße	9-21	8-16	8		9049
Feldahornweg	1-43	2-6	9	Wiederitzsch	9519
Feldahornweg	8-18		9	Wiederitzsch	9511
Feldblumenweg	1-13	2-12	6		6491
Feldhasenweg	1-5	12-14	1		2512
Feldlerchenweg	6-16		7	BöhLindenthalz-Ehrenberg	7419
Feldstraße	1-51	2-48	3	Holzhausen	3521
Feldstraße	50		3	Holzhausen	3529
Feldstraße	71-85	80-110	3		3211
Feldweg	1	2	2		2219
Felsenbirnenstraße	1	2-14	2		2402
Felsenkellerstraße	3	2-10	7		7029
Ferdinand-Freiligrath-Straße	1-29	2-18	9	Wiederitzsch	9531
Ferdinand-Freiligrath-Straße	31-39	22-28	9	Wiederitzsch	9509
Ferdinand-Jost-Straße	1-15	2-20	3		3119
Ferdinand-Jost-Straße	19-31	22-44	3		3129
Ferdinand-Jost-Straße	33-43		3		3101
Ferdinand-Jost-Straße	45-51	46-66	3		3130
Ferdinand-Lassalle-Straße	1-7	2-8	0		0419
Ferdinand-Lassalle-Straße	9-23A	10-24A	0		0400
Ferdinand-Rhode-Straße	3-17A	2-12	0		0301
Ferdinand-Rhode-Straße	29-37	14-42	0		0320
Feuerbachstraße	1-11	2-14	0		0530
Feuerbachstraße	13-23	16-28	0		0519
Feuerbachweg	7-25	8-24	2		2489
Fichtenstraße	1-11	2-12	2	Mölkau	2619
Fichtesiedlung	1-37	2-36	9	Wiederitzsch	9531
Fichtestraße	1-9B	2-22	4		4079
Fichtestraße	15-41	24-36	4		4089
Fichtestraße	45-59	38A-56	4		4099
Fichtestraße	61	62-66	4		4098
Finkengrund	1-11	2-12	9	Wiederitzsch	9511
Finkensteig	1-29	2-18	8		8102
Finkenweg	1-9	2-14	3	Holzhausen	3509
Fleckensteiner Weg	7-9	4-6	8		8009
Fleißnerstraße	1-17	2-28	9		9100
Flemmingstraße	1-15		7		7121
Flemmingstraße	2-16		7		7119
Fliederhof	1-13	2-26	1		1009
Fliederweg	7-19	2-4	3	Liebertwolkwitz	3419
Flinzerstraße	1-5	2	3		3161
Flöhaer Straße	1-5	2-10	1		1410
Floraweg	1		4		4401
Friedrichshafner Straße 9	187-217	152-244	9		1301
Friedrichstraße	13-35		0		0212
Friedrich-Wolf-Straße	1-47	2-32	1		1109
Friesenstraße	1-17	2-8	7		7131
Friesenstraße	14		7		7159
Friesenstraße	90		7		7309
Friesenweg	2-12		2	Engelsdorf	2711
Fritz-Hanschmann-Straße	1-15		3		3071
Fritz-Hanschmann-Straße	2-16		3		3060
Fritz-Krebs-Straße	1-3	2-4	3	Liebertwolkwitz	3439
Fritz-Reuter-Straße	5-21	6-40	9	Wiederitzsch	9519
Fritz-Reuter-Straße	25-31	44-48	9	Wiederitzsch	9509
Fritz-Reuter-Straße	33-49	52	9	Wiederitzsch	9531
Fritz-Schmenkel-Straße	1-11	2-12	8		9209
Fritz-Seger-Straße	2-26		8		9069
Fritz-Seger-Straße	3-27		8		9029
Fritz-Siemon-Straße	1-47	26	1		1149
Fritz-Simonis-Straße	1-45		8		8039
Fritz-Zalisz-Straße	1-67	2-66	3	Holzhausen	3521
Fröbelstraße	1-19	2-20	9	Wiederitzsch	9531
Frohburger Straße	33-43	34-40	4		4129
Frommannstraße	3-15	6-12	3		3001
Fröschelstraße	1	2-4	3		3009
Froschkönigweg	1-33	2-34	0		4221
Froschweg	1-23	2-16	1		2511
Fuchshainer Straße	1-9	2-10	3		3071
Fuchspfad	1-19	2-22	5		5409
Fucikstraße	5A-67	10-50	8		8009
Fucikstraße	85		8	Lindenthal	8311
Fuggerstraße	1-3	2	9	Wiederitzsch	9519
Fullaweg	1-15	2-16	1		1439
Funkenburgstraße	1-15	2-16	0		0549
Funkenburgstraße	17-29		0		0530
Funkenburgstraße	18-28		0		0521
Furnierweg	4-8		7	BöhLindenthalz-Ehrenberg	7441
Fürther Straße	1-41	4-42	5		6312
Gabelsbergerstraße	1-19	2-32	1		2039
Galileistraße	5-29	14-24	8		8009
Ganghoferstraße	1B-39	2-54	3		3229
Gänseblümchenweg	1-61		9	Wiederitzsch	9519
Gänseblümchenweg	63-67	2-40	9	Wiederitzsch	9509
Garskestraße	3-31		6		6039
Gartenbogen	1-29	2-28	3	Liebertwolkwitz	3439
Gartengrund	1-43	2-10A	7	BöhLindenthalz-Ehrenberg	7421
Gartengrund	12-46		7	BöhLindenthalz-Ehrenberg	7419
Gartenstraße	3-35A	2-28	2	Engelsdorf	2712
Gartenweg	2-12		5	Hartmannsdorf-Knautnaundorf	5520
Gartenwinkel	1-51	2-56	8	Lindenthal	8313
Gärtnereiweg	2-8		8	Lindenthal	8311
Gärtnergasse	3-15	4-12	3	Liebertwolkwitz	3419
Gärtnerstraße	1-95		6		6169
Gärtnerstraße	36		5		5209
Gärtnerstraße	97-181		6		6159
Gärtnerweg	1-23	2-26	9	Wiederitzsch	9531
Gaschwitzer Straße	3-11	2-12	4		4149
Gaswerksweg	1-9	4-12	2	Engelsdorf	2729
Gaswerksweg	15-17A	18	2	Engelsdorf	2701
Gaußstraße	21-55	24-28	7		7329
Gebrüder-Weber-Weg	1-29	2-40	3		3219
Gedikestraße	1-7A	2-28	9		9349
Geibelstraße	9-39		9		9171
Geibelstraße	10-54		9		9339
Geibelstraße	56-74		9		9329
Geißblattstraße	1-9	2-52	2		2402
Geißlerstraße	1-11	2-20	1		2139
Geithainer Straße	1-95	10-90	2		2330
Gellertplatz	1	2	7		7119
Gellertstraße	1-3	2-10	7	Rückmarsdorf	7529
Gemeindeamtsstraße	1-19	8-26	7		7161
George-Bähr-Straße	1-31	2-32	2		2321
Georg-Fischer-Straße	3	2	5		5329
Georg-Große-Straße	1-5		2	Engelsdorf	2731
Georg-Große-Straße	8-14		2	Engelsdorf	2709
Georg-Herwegh-Straße	1-11	4-22	9	Wiederitzsch	9519
Georg-Herwegh-Straße	13-25	24-26	9	Wiederitzsch	9509
Georg-Herwegh-Straße	27-45	30-44	9	Wiederitzsch	9531
Gletschersteinstraße	19-47	14-22	3		3169
Gletschersteinstraße	49-67	28-42	3		3168
Glockenstraße	5	6	0		0212
Gmundener Weg	1-27	2-26	1		1510
Gneisenaustraße	1-7	2-12	0		0619
Göbschelwitzer Straße	1-9	4-10	9	Seehausen	9400
Göbschelwitzer Straße	45-93	52-94	9	Seehausen	9419
Göbschelwitzer Weg	1-3		1		1500
Goerdelerring	5-9		0		0421
Goerdelerring	20		0		0019
Goetheplatz	1-7	2-6	7	BöhLindenthalz-Ehrenberg	7421
Goetheplatz	9	10	7	BöhLindenthalz-Ehrenberg	7429
Goetheplatz	11-17		7	BöhLindenthalz-Ehrenberg	7421
Goetheplatz	12-16		7	BöhLindenthalz-Ehrenberg	7419
Goethesteig	1		4		4402
Goethesteig	2A-4		4		4401
Goethestraße	1-11	2-8	0		0019
Goetheweg	1-23	2-24	2	Mölkau	2601
Goetzstraße	1-5	2-8	7		7161
Gogolstraße	2-20		9		1319
Gogolstraße	9-77	22-70	9		1301
Gogolstraße	74-76		9		1339
Gogolstraße	81-101	80-82	9		1341
Gogolstraße	84-94		9		1359
Gohliser Straße	1-17	2-20	0		0609
Gohliser Straße	19-29	22-30	8		9069
Gohliser Straße	32-42		8		9029
Gohliser Straße	35-45		8		9081
Göhrenzer Straße	1-7	2-6	5		5401
Göhrenzer Weg	1-5	2-6	6		6491
Goldacher Straße	1-13	2-16	7	Miltitz	6601
Goldammerweg	1-3		8		8101
Goldammerweg	5-15	2-24	8		8102
Goldene Hufe	1-71	2-70	1		2511
Goldglöckchenstraße	2		2		2402
Goldoniweg	1-31	2-32	3		3319
Goldrutenweg	3-15		5		5301
Goldschmidtstraße	11-13	12-14	0		0200
Goldschmidtstraße	21-51	16-30	0		0211
Goldsternstraße	1-19	4-18	2		2410
Goldsternstraße	21A-25	20-36	2		2402
Goldsternstraße	27-59	38-58	2		2401
Goldulmenweg	1-9	2-8	7	Miltitz	6601
Gontardweg	53-137	2-122	9		1220
Gontscharowstraße	1-87	2-76	9		1301
Gorbitzer Straße	1		3		3209
Gorbitzer Straße	11-25	24	3		3301
Gorkistraße	5-7	4-20	1		1009
Gorkistraße	15-51		1		1109
Gorkistraße	26-52		1		1029
Gorkistraße	58-64		1		1030
Gorkistraße	63-113		1		1061
Gorkistraße	70-128		1		1059
Gorkistraße	115-135		1		1079
Görlitzer Straße	2-32		9		9349
Görlitzer Straße	1-17	34-42	9		9359
Gortschakoffweg	1-21	10-36	3		3319
Göschenstraße	3-11	2-18	3		3001
Goslarer Straße	2-8		8		9229
Göteborger Straße	1-111	2-114	1		1401
Gotenstraße	1-11	2-10	3		3161
Gothaer Straße	1-5	10-12	8		9029
Gothaer Straße	7-31	14-40	8		9021
Gottfried-Jähnichen-Weg	1-57	2-46	2	Engelsdorf	2809
Gottfried-Keller-Straße	5-21	2-18	3		3229
Gottfried-Rentzsch-Weg	1-27	2-24A	2	Engelsdorf	2809
Gotthelfstraße	1	2-10	3		3229
Gottlaßstraße	1-37	2-22	8		8121
Gottleubaer Straße	1-37		1		1421
Gottleubaer Straße	2-40		1		1410
Gottlieb-Schöne-Weg	1-23	2-28	2	Engelsdorf	2809
Gottschalkstraße	5-19	2-24	2	Mölkau	2619
Gottschallstraße	2-8		9		9149
Gottschallstraße	1A		9		9139
Gottschallstraße	1B-21		9		9151
Gottschallstraße	1	10-24	9		9151
Gustav-Adolf-Allee	9-57	8	8	Lindenthal	8309
Gustav-Adolf-Straße	1-17	4-14	0		0521
Gustav-Adolf-Straße	19-49	26-44	0		0549
Gustav-Adolf-Straße	51-57	56-58	0		0519
Gustav-Esche-Straße	1-1A	2	7		7309
Gustav-Esche-Straße	5	4-8	8		8119
Gustav-Feilotter-Straße	1-7	2-12	2	Mölkau	2601
Gustav-Freytag-Straße	19-33A	18-30	4		4111
Gustav-Freytag-Straße	41-63	40-52	4		4121
Gustav-Kühn-Straße	1	2-6	8		8069
Gustav-Kühn-Straße	8		8		8071
Gustav-Mahler-Straße	1-31	2-24	0		0419
Gustav-Scheibe-Straße	1A-11	2-8	2	Mölkau	2619
Gustav-Schmoller-Straße	1-9	2-10	8		8102
Gutberletstraße	7-17	2-20	2	Mölkau	2609
Gutenbergplatz	1A-5	2-8A	0		0211
Gutenbergstraße	11-25	4-24	7	BöhLindenthalz-Ehrenberg	7401
Güterbahnhofstraße	1-11	2-8	2	Engelsdorf	2711
Gutshofstraße	1-25	2-32	7	BöhLindenthalz-Ehrenberg	7401
GutsMuthsstraße	1-9		7		7029
GutsMuthsstraße	2-36		7		7001
GutsMuthsstraße	11-49	38-50	7		7019
Gutsparkstraße	1-21	6-24	2		2471
Gutsweg	1-11	2-10	9	Seehausen	9419
Gypsbergstraße	11		9		1319
Haferkornstraße	3-19	2-50	9		9369
Haferkornstraße	25-41		9		9339
Haferring	1-27	4-58	9	Wiederitzsch	9520
Hafisweg	1	2-22	3		3301
Hagebuttenweg	1-21	12-46	5		5411
Hahnekamm	1-3		0		0109
Hähnelstraße	1-29	2-28	7		7019
Hahnemannstraße	1-21	2-28	7		7159
Hainbuchenstraße	1-13		2		2402
Hainbuchenstraße	41	2-46	2		2401
Hainburger Weg	5-53	2-50	1		1510
Hainstraße	1-23	2-26	0		0019
Hainveilchenweg	1-5	2-14	2		2489
Halberstädter Straße	2		9		9169
Hallbergmooser Straße	1-33	2-46	7	Miltitz	6601
Hallesche Straße	1-25	30	8	Lützschena-Stahmeln	8200
Hallesche Straße	65-147	58-134	8	Lützschena-Stahmeln	8219
Hallesche Straße	149-219	138-246	8	Lützschena-Stahmeln	8229
Hamburger Straße	3-29	8-40	9		9369
Hamburger Straße	33-49	42-64	9		9359
Hammerstraße	3-19	10-18	4		4132
Hammstraße	1-39	2-52	9		9329
Handelsplatz	1-1C	2-4	2	Engelsdorf	2731
Handelsring	10-12		9		1301
Handelsstraße	1-3	4-10	9	Seehausen	9400
Händelstraße	1-33	2A-36	3	Holzhausen	3519
Handwerkerhof	1-21	2-6	2	Mölkau	2609
Handwerkerhof	6A		3		3130
Handwerkerhof	8-12		2	Mölkau	2609
Hänicher Mühle	5-15	2-12	8	Lützschena-Stahmeln	8229
Hänischstraße	1-65	2-58	1		1109
Hannoversche Straße	2		8		9231
Hannoversche Straße	5-67	16-44	8		9229
Hannoversche Straße	50-76		8		9221
Hanns-Eisler-Straße	1-29		2		2201
Hans-Beimler-Straße	1-17		8		8049
Hans-Beimler-Straße	19-41		8		8069
Hans-Beimler-Straße	24-32		8		8039
Hans-Beimler-Straße	34-58		8		8011
Hans-Driesch-Straße	1-39		7		7359
Hans-Driesch-Straße	2-38		7		7309
Hans-Driesch-Straße	41-51		7		7341
Hans-Driesch-Straße	53-61	40-54	7		7319
Hans-Driesch-Straße	63-79		7		7341
Hänselweg	1-27	2-32	0		4221
Hans-Grade-Straße	2		8	Lützschena-Stahmeln	8229
Hans-Marchwitza-Straße	2-12		4		4329
Hans-Marchwitza-Straße	14-28		4		4330
Hans-Oster-Straße	2-6		9		9100
Hans-Oster-Straße	8-12		9		9111
Hans-Oster-Straße	14-34		9		9100
Heinrichstraße	1-51	30-42	3		3009
Heinrich-Zille-Weg	1-27	2-36	3		3319
Heinrothstraße	1-15	2-22	8		9049
Heinzelmannweg	1-15	2-14	0		4201
Heinz-Kapelle-Straße	1-3	2-4	9		9369
Heiterblickallee	1-23		2		2420
Heiterblickallee	2-14		2		2489
Heiterblickallee	16-34		2		2459
Heiterblickallee	25-43		2		2410
Heiterblickallee	36-78		2		2439
Heiterblickallee	45-61		2		2402
Heiterblickallee	63-81		2		2401
Heiterblickallee	85		1		2509
Heiterblickstraße	11-17	6-22	1		1009
Heiterblickstraße	25-39	26-42	1		1109
Helenenstraße	1-11	2-10	4		4401
Helenenstraße	15-47	12-50	4		4402
Helgoländer Weg	1-9	2-10	8		9209
Hellerstraße	1-33	2-54	7		7329
Helmholtzstraße	1-21	2-6	7		7001
Helmholtzstraße	23-35	8-22A	7		7019
Hempelstraße	2-4		7		7119
Hempelstraße	1-11	6-8	7		7131
Hendelweg	7-17	2-20	8		8119
Henricistraße	1-5C	14-16	7		7161
Henricistraße	7-53	18-52	7		7159
Henriettenstraße	1-17	2-16	7		7001
Hentschelweg	17-45	2-34	4		4402
Herbartstraße	1-7	2-4	2		2249
Herbert-Bochow-Straße	2-20		3		3219
Herbert-Thiele-Straße	1	4-12	1		1510
Herderstraße	1-13		4		4129
Herloßsohnstraße	1-39	2-44	8		9049
Hermann-Brade-Straße	1-9	2-18	2	Mölkau	2619
Hermann-Keller-Straße	3-45	2-44A	9	Wiederitzsch	9531
Hermann-Keller-Straße	51-75	46-78	9	Wiederitzsch	9509
Hermann-Keller-Straße	77-79		9	Wiederitzsch	9519
Hermann-Liebmann-Straße	5-37		1		2069
Hermann-Liebmann-Straße	6-52		1		2141
Hermann-Liebmann-Straße	39-43		1		2059
Hermann-Liebmann-Straße	67-89		1		2020
Hermann-Liebmann-Straße	78-108		1		2109
Hermann-Liebmann-Straße	93-105		1		2009
Hermann-Löns-Straße	1-43	2-28	2	Mölkau	2601
Hermann-Sander-Straße	1-31A	2-40	2	Mölkau	2609
Hermann-Schein-Straße	3	4	4		4402
Hermannstraße	1-21	2-28	4		4132
Hermelinplatz	1-25		1		2512
Hermelinplatz	2-10		1		2509
Hermelinstraße	1-27	2-6	1		2509
Hermelinstraße	8-12		1		2512
Hermundurenstraße	1-7	2-6	8		8111
Hermundurenstraße	13-17	14-20	8		8119
Herrmann-Meyer-Straße	1-85	2-46	5		5221
Herrnhuter Straße	1-27	2-34	2		2219
Hersvelder Straße	5-53	2-52	2	Engelsdorf	2919
Hertzstraße	9-13	2	1		2509
Herwigstraße	1-11	2-38	4		4349
Herwigstraße	15-39	40-42	4		4309
Herzberger Straße	1-5A		2	Engelsdorf	2711
Herzberger Straße	2		2	Engelsdorf	2712
Herzenstraße	1-35	2-44	9		1339
Herzenstraße	37-87	46-96	9		1301
Hessenstraße	1-7	2-6	3		3161
Hettelweg	1-43	2-32	4		4309
Heuweg	8		8		8071
Hickmannstraße	1-11	2-12	7	BöhLindenthalz-Ehrenberg	7401
Hildburgstraße	1-5		4		4309
Hildburgstraße	2-8		4		4349
Hildebrandstraße	33	28-34	4		4141
Hildebrandstraße	36		4		4149
Hildebrandstraße	39A-45C		4		4159
Hildegardstraße	1	2	1		2141
Hildegardstraße	37-41	18-34	1		2149
Hildegardstraße	43-53	36-56	1		2109
Hildeweg	1-31	2-32	4		4309
Hubertusstraße	73-115	94-124	5		5401
Hubmaierweg	1-41	2-38	5		5411
Hüfferstraße	51-75	50-78	5		5049
Hüfnerstraße	1-13		8		8119
Hüfnerstraße	15-21	2-18	8		8111
Hügelweg	1-5	2-14	1		1500
Hugo-Aurig-Straße	7-9	2-10	2	Engelsdorf	2729
Hugo-Junkers-Straße	3	8	8	Lützschena-Stahmeln	8229
Hugo-Krone-Platz	3-9	6	9	Wiederitzsch	9520
Hugo-Licht-Straße	1-3		0		0019
Humboldtstraße	1-9	2-12A	0		0521
Humboldtstraße	13-27	14-18	0		0621
Hummelstraße	1-9	2-16	1		2511
Humperdinckstraße	1-15	2-16	2	Engelsdorf	2709
Hünerfeldstraße	13-23	8-12	3	Holzhausen	3529
Husemannstraße	1-3	2	1		2039
Hussitenstraße	1-29	4-20	2	Engelsdorf	2712
Huttenstraße	1A-1B	2-14	5		5311
Huttenstraße	1	16-30	5		5329
Huttenstraße	3-27		5		5329
Huygensstraße	1-21		8		8059
Huygensstraße	2-24		8		8029
Idastraße	17-21	12-36B	1		2149
Idastraße	23-43	38-40	1		2109
Igelstraße	1-29		1		2512
Ihmelsstraße	1-15	2-12	1		2141
Ihmelsstraße	14		1		2139
Ilmenauer Weg	3-17	2-42	6		6029
Ilse-Decho-Weg	3-81	2-72	2	Engelsdorf	2712
Iltispfad	1-21	2-38	5		5401
Im Birkengrund	1-7	4-12	3	Liebertwolkwitz	3439
Im Blumengrund	1-15	4-24	2	Engelsdorf	2729
Im Dölitzer Holz	7-13	20	4		4402
Im Grunde	3	8	2	Engelsdorf	2809
Im Limburgerpark	1-11	2-12	4		4359
Im Lindengrund	1-13	4-10	3	Liebertwolkwitz	3439
Im Tannengrund	1-7	8	3	Liebertwolkwitz	3439
Im Weidengrund	3-9	2-12	3	Liebertwolkwitz	3439
Im Winkel	1-9A	2-8	7	Rückmarsdorf	7529
Im Zipfel	5-17	2-26	8	Lützschena-Stahmeln	8219
Immenstraße	1-47	2-58	5		5339
Immischweg	1-7	6-8	4		4402
Industriestraße	1-7		5		5009
Industriestraße	2-18		5		5007
Industriestraße	9-29		5		5019
Industriestraße	20-30H		5		5008
Industriestraße	31-35		5		5029
Industriestraße	32-40		5		5122
Industriestraße	41-101	42-86	5		5129
Ingwerweg	1-19	2-14	9	Wiederitzsch	9531
Innenring	1A-15		9	Wiederitzsch	9519
Inselstraße	5-31	2-32	0		0129
Italiaanderstraße	1-39	2-40	1		1510
J.-C.-Hinrichs-Straße	1A		1		2069
Jack-London-Weg	1-19		3		3319
Jacobstraße	1-27	2-22	0		0521
Jadassohnstraße	2		7		7200
Jadebogen	1-31	2-40	2	Engelsdorf	2701
Jägerstraße	1-29	2-10	9		9111
Jägerstraße	14-16		9		9100
Jahnallee	1-31		0		0421
Jahnallee	2-16		0		0549
Jahnallee	20		0		0519
Jahnallee	33-59		0		0419
Jahnallee	52-56		7		7159
